ocr_text,document_type
"attending physician priya nair
di@gnosis 78 andheri east mumbai
date of visit 14/08/2005",Medical Records
"t@x form showing wages and taxes withheld for the year
employer identification number 522708547223 
",Proof of Income
electricity or water bill showing a resident's address in brazil,Comprovante de Residência
"unique identification number issued to indian residents by uidai
dob 22/04/1965",Aadhaar Card
"residential lease agreement
leasc term begins 13/09/1981 cnds 13/09/1981
security deposit 3385.74
monthly rcnt due on the first of each month 3655.41 
",Lease Agreement
"date  of visit 15/01/2020
attending physician james carter
diagnosis rua das flores 88 sao paulo
patient medical record
treatment summary discharge n0tes",Medical Records
"certificatc of disability
percentage of disability 45%
issued by district hospital
medical board assessment",Disability Certificate
"percentual de inc@pacidadc 34%
cid b2igih
laudo médico 
",Medical/Disability Report
"tax  form showing wages and taxes withheld for the year
federal income tax withheld 5026.75",Proof of Income
"billing address rua das flores 88 sao paulo
uti1ity connection va1id for 78 andheri east mumbai
pr0of of residence
consumer number 04215455
electricity bill",Address Proof
"social security card issued
this card be1ongs to fern@nda lima
socia1 5ecurity number 3264911135
social security administration",Social Security Number
official work permit document used in brazil for formal employment,Carteira de Trabalho
"gender male
enrolment no 5613794426
aadhaar no 016749
government of india unique identificati0n authority of india
uidai मेरा आधार मेरी पहचान
dob 23/08/1974",Aadhaar Card
government certification of low-inc0me f@mily status,BPL Certificate
"disability type: locomot0r/visual/hearing
medical board asscssment
udid numbcr 56767922
certificate of disability
issued by district hospita1",Disability Certificate
"dates of empl0yment 25/09/1982 to 25/09/1982
employmcnt history summary
employer maria souza position 300 lakeview ave chicago",Work History
document used to confirm how old a person is,Age Proof
"billing address 12 main st springfie1d
consumer number 497065527687
residential ccrtificate issued to anita desai",Address Proof
national health card used to @ccess public healthcare services in brazil,Cartão Nacional de Saúde
"renda familiar 357.06
número do cadúnico 137911
número de idcntificação social nis 8033589599
cadastro único para programas sociais",CadÚnico Registration
"date  of birth as per school records 21/02/1964
school leaving certificate
age proof issued by 78 andheri east mumbai municipality
certific@te of agc",Age Proof
electricity  or water bill showing a resident's address in brazil,Comprovante de Residência
"laudo médico
avaliaçã0 de deficiência
médic0 responsável maria souza
percentual de incapacidadc 15%
cid iaefbf",Medical/Disability Report
"emp1oymcnt history summary
dates of employment 21/07/2016 to 21/07/2016
employer sarah johnson position 221b bakcr strect
work history verification letter",Work History
"recent earnings statcment from an employer showing pay and deductions
federal tax state tax net pay 9494.87",Last Pay Stubs
"ifsc  code ce7175
statement period 15/10/2012 to 15/10/2012
branch name 78 andheri east mumbai 
",Bank Statement
"government-issued proof of annu@l family income
this is to certify that mr/mrs sarah johnson 
",Income Certificate
"cid cg2866
médico responsável anita desai
avaliação de deficiência
laud0 médico",Medical/Disability Report
"official  brazilian id card issued by public security dcpartment
rg número 8564477710 
",RG (ID)
medical certification stating the type and percentage of disability,Disability Certificate
"individual  tax id d0cument used for financial transactions in brazil 
",CPF
official  work permit document used in brazil for formal employment,Carteira de Trabalho
"proof of residence
billing address 12 main st springfield
utility connection valid for rua das flores 88 sao paulo
consumer number 153094237992
e1ectricity bill",Address Proof
"fatura  referente ao mês janu@ry
conta de luz endereço rua das flores 88 sao paulo
companhia de energia elétrica",Comprovante de Residência
"n0me completo vikram rao
data de nascimento 08/06/1984
cpf número 216876400388
cad@stro de pessoas físicas",CPF
"bpl  card holder rohan mehta
family income below poverty line threshold
issued by gram panchayat office
bpl survey no 9792043014
below poverty linc certificate",BPL Certificate
"opening  balance 1328.28 closing balance 1328.28
branch n@me 45 mg road bengaluru
ifsc code 1d4d16",Bank Statement
"médico  responsável priya nair
laudo médico
cid j9je91
avaliação de deficiência",Medical/Disability Report
"número do cartão 348941011384
ministério da 5aúde
sistema único de saúde sus 
",Cartão Nacional de Saúde
"government  document confirming date and placc of birth
municipal corporation birth registry",Birth Certificate
"registro geral
secretaria de segurança pública
carteira de identidadc
fi1iação john silva",RG (ID)
"paystub listing salary breakdown for the pay period
pay period 15/07/2018",Income Proof
official document stating a person's yearly earnings issued by a revenue officer,Income Certificate
