benefit_id,region,category,income_ratio,age_centrality,family_margin,category_match,employment_match_any,region_density,priority_label
br_auxilio_emergencial,BR,unemployment,0.0,0.1373,3,0,0,6,0.672
in_pmaay,IN,housing_assistance,0.2284,0.2745,3,0,1,6,0.5425
in_pmaay,IN,housing_assistance,0.5898,0.6471,1,0,1,6,0.315
br_bolsa_familia,BR,child_support,0.7855,0.2222,0,0,1,6,0.1432
us_ssdi,US,disability_support,0.0,0.8039,0,0,1,6,0.5413
us_section8,US,housing_assistance,0.3793,0.8627,1,1,1,6,0.676
in_disability_pension,IN,disability_support,0.606,0.1176,3,0,1,6,0.377
br_idoso,BR,elderly_care,0.2566,0.4,1,1,1,6,0.6669
us_snap,US,food_assistance,0.356,0.0,0,1,1,6,0.5651
br_minha_casa,BR,housing_assistance,0.0684,0.5098,1,1,1,6,0.7392
us_unemployment,US,unemployment,0.0,0.3137,3,1,0,6,0.9158
us_ssdi,US,disability_support,0.0,0.0392,0,0,1,6,0.5508
in_disability_pension,IN,disability_support,0.3259,0.451,0,1,1,6,0.6394
in_nfsa,IN,food_assistance,0.2301,0.1167,1,0,1,6,0.4705
br_bpc,BR,disability_support,0.6073,0.6833,3,1,1,6,0.6233
us_snap,US,food_assistance,0.7446,0.2833,3,0,1,6,0.3202
br_idoso,BR,elderly_care,0.0978,0.5,0,1,1,6,0.7143
us_unemployment,US,unemployment,0.0,0.4706,1,1,0,6,0.8341
in_pmjay,IN,healthcare_support,0.5465,0.8333,1,1,1,6,0.5557
br_bpc,BR,disability_support,0.5132,0.85,2,1,1,6,0.6298
br_bpc,BR,disability_support,0.7202,0.6,1,0,1,6,0.2385
us_ssdi,US,disability_support,0.0,0.2353,1,0,1,6,0.5346
in_pmaay,IN,housing_assistance,0.2384,0.0196,1,0,1,6,0.442
br_minha_casa,BR,housing_assistance,0.0344,0.3333,1,0,1,6,0.5289
in_pmaay,IN,housing_assistance,0.253,0.9412,3,0,1,6,0.6054
us_medicaid,US,healthcare_support,0.1312,0.85,3,0,1,6,0.6966
br_sus,BR,healthcare_support,0.0,0.25,1,0,1,6,0.5375
us_section8,US,housing_assistance,0.2386,0.0196,0,1,1,6,0.5508
in_nsap,IN,elderly_care,0.1836,0.6667,0,0,1,6,0.459
us_ssdi,US,disability_support,0.0,0.1765,1,0,1,6,0.5691
us_unemployment,US,unemployment,0.0,0.9412,0,0,0,6,0.5537
in_pmjay,IN,healthcare_support,0.2193,0.9667,1,1,1,6,0.7035
br_minha_casa,BR,housing_assistance,0.2538,0.2941,0,1,1,6,0.6478
in_nfsa,IN,food_assistance,0.2294,0.45,1,1,1,6,0.6917
br_minha_casa,BR,housing_assistance,0.6006,0.6863,1,1,1,6,0.5934
in_icds,IN,child_support,0.8801,0.0,0,1,1,6,0.3328
us_medicaid,US,healthcare_support,0.6719,0.9667,2,0,1,6,0.425
br_auxilio_emergencial,BR,unemployment,0.0,0.8039,2,0,0,6,0.6775
br_bolsa_familia,BR,child_support,0.7143,0.4444,3,1,1,6,0.6196
in_icds,IN,child_support,0.2229,1.0,1,0,1,6,0.5698
br_bolsa_familia,BR,child_support,0.4827,0.4444,3,0,1,6,0.4937
in_disability_pension,IN,disability_support,0.5032,0.8824,0,1,1,6,0.5956
us_section8,US,housing_assistance,0.4402,0.2941,1,0,1,6,0.3657
us_unemployment,US,unemployment,0.0,0.5882,1,0,0,6,0.5624
in_nfsa,IN,food_assistance,0.3999,0.5667,0,0,1,6,0.3914
in_disability_pension,IN,disability_support,0.4496,1.0,1,0,1,6,0.4458
br_minha_casa,BR,housing_assistance,0.5527,0.7451,0,1,1,6,0.5716
br_minha_casa,BR,housing_assistance,0.3883,0.8627,2,0,1,6,0.5025
br_bpc,BR,disability_support,0.4619,0.8,3,0,1,6,0.5685
in_nsap,IN,elderly_care,0.6473,0.5667,1,1,1,6,0.5518
br_bolsa_familia,BR,child_support,0.4555,0.1111,1,0,1,6,0.3221
