region,office_id,office_type,date,day_of_week,hour,is_holiday,weather,seasonal_factor,num_visitors,actual_wait_time_minutes,crowd_level
IN,in_office_1,healthcare,2025-01-01,2,9,1,extreme_heat,1.15,62,54,high
IN,in_office_1,healthcare,2025-01-01,2,10,1,clear,1.15,138,126,high
IN,in_office_1,healthcare,2025-01-01,2,11,1,extreme_heat,1.15,93,78,high
IN,in_office_1,healthcare,2025-01-01,2,12,1,rain,1.15,92,84,high
IN,in_office_1,healthcare,2025-01-01,2,13,1,clear,1.15,101,97,high
IN,in_office_1,healthcare,2025-01-01,2,14,1,clear,1.15,132,116,high
IN,in_office_1,healthcare,2025-01-01,2,15,1,rain,1.15,106,90,high
IN,in_office_1,healthcare,2025-01-01,2,16,1,clear,1.15,65,56,high
IN,in_office_1,healthcare,2025-01-02,3,9,0,rain,1.15,48,46,high
IN,in_office_1,healthcare,2025-01-02,3,10,0,extreme_heat,1.15,59,56,high
IN,in_office_1,healthcare,2025-01-02,3,11,0,storm,1.15,45,49,high
IN,in_office_1,healthcare,2025-01-02,3,12,0,rain,1.15,59,57,high
IN,in_office_1,healthcare,2025-01-02,3,13,0,rain,1.15,48,47,high
IN,in_office_1,healthcare,2025-01-02,3,14,0,clear,1.15,74,63,high
IN,in_office_1,healthcare,2025-01-02,3,15,0,normal,1.15,79,66,high
IN,in_office_1,healthcare,2025-01-02,3,16,0,extreme_heat,1.15,22,22,moderate
IN,in_office_1,healthcare,2025-01-03,4,9,0,extreme_heat,1.15,32,37,moderate
IN,in_office_1,healthcare,2025-01-03,4,10,0,rain,1.15,74,68,high
IN,in_office_1,healthcare,2025-01-03,4,11,0,normal,1.15,89,74,high
IN,in_office_1,healthcare,2025-01-03,4,12,0,extreme_heat,1.15,48,41,high
IN,in_office_1,healthcare,2025-01-03,4,13,0,storm,1.15,29,30,moderate
IN,in_office_1,healthcare,2025-01-03,4,14,0,rain,1.15,75,65,high
IN,in_office_1,healthcare,2025-01-03,4,15,0,clear,1.15,82,67,high
IN,in_office_1,healthcare,2025-01-03,4,16,0,extreme_heat,1.15,32,32,moderate
IN,in_office_1,healthcare,2025-01-04,5,9,0,normal,1.15,16,11,low
IN,in_office_1,healthcare,2025-01-04,5,10,0,clear,1.15,47,40,high
IN,in_office_1,healthcare,2025-01-04,5,11,0,clear,1.15,49,46,high
IN,in_office_1,healthcare,2025-01-04,5,12,0,storm,1.15,30,26,moderate
IN,in_office_1,healthcare,2025-01-04,5,13,0,extreme_heat,1.15,22,9,moderate
IN,in_office_1,healthcare,2025-01-04,5,14,0,extreme_heat,1.15,39,35,moderate
IN,in_office_1,healthcare,2025-01-04,5,15,0,rain,1.15,29,22,moderate
IN,in_office_1,healthcare,2025-01-04,5,16,0,rain,1.15,19,14,low
IN,in_office_1,healthcare,2025-01-05,6,9,0,rain,1.15,8,13,low
IN,in_office_1,healthcare,2025-01-05,6,10,0,normal,1.15,46,44,high
IN,in_office_1,healthcare,2025-01-05,6,11,0,storm,1.15,24,24,moderate
IN,in_office_1,healthcare,2025-01-05,6,12,0,normal,1.15,34,27,moderate
IN,in_office_1,healthcare,2025-01-05,6,13,0,normal,1.15,40,35,moderate
IN,in_office_1,healthcare,2025-01-05,6,14,0,normal,1.15,44,38,moderate
IN,in_office_1,healthcare,2025-01-05,6,15,0,rain,1.15,40,41,moderate
IN,in_office_1,healthcare,2025-01-05,6,16,0,clear,1.15,14,13,low
IN,in_office_1,healthcare,2025-01-06,0,9,0,extreme_heat,1.15,34,33,moderate
