text,category
"Hello, We just adopted a child and need financial assistance. I don't know where to start.",child_support
"Hello, I need senior meal delivery services for my mother. Please advise.",elderly_care
I need advice. Our house was damaged in a flood and we need housing support. Please advise.,housing_assistance
"Please help, We just adopted a child and need financial assistance.",child_support
"Hi, My elderly parents need assistance with daily activities. What should I do?",elderly_care
Urgent: My grandfather has dementia and needs full time care. I don't know where to start.,elderly_care
"Hi there, I lost my leg in an accident and need disability benefits. What should I do?",disability_support
Urgent: My parents are too old to live independently anymore. Can you help me?,elderly_care
"Hi, My daughter just started school and I need support with supplies. Please advise.",child_support
"Hi there, I need help finding a nursing home for my father. I don't know where to start.",elderly_care
"Hi there, My income dropped and I can't buy enough food for my children. Please advise.",food_assistance
I need advice. We need a caregiver for my aging mother. Can you help me?,elderly_care
"Hi, I'm behind on my mortgage payments and may lose my home.",housing_assistance
I'm jobless and looking for unemployment benefits.,unemployment
"Hi there, My elderly aunt needs help with mobility and daily tasks. I don't know where to start.",elderly_care
"Please help, My wife is pregnant and we need maternal healthcare support.",healthcare_support
"Please help, My mother was diagnosed with cancer and needs treatment support. What should I do?",healthcare_support
Urgent: I'm jobless and looking for unemployment benefits. Can you help me?,unemployment
I need advice. I'm behind on my mortgage payments and may lose my home. Please advise.,housing_assistance
"Hello, We need access to a local food bank. Can you help me?",food_assistance
"Hi, I am elderly and can't afford groceries on my pension.",food_assistance
I need advice. I'm a single father struggling to support my children. Please advise.,child_support
My daughter just started school and I need support with supplies.,child_support
"Hi, I need help finding a nursing home for my father. I don't know where to start.",elderly_care
"Hi, My grandmother is 80 and needs in-home care. What should I do?",elderly_care
"Hi there, I got fired and need help paying bills. Please advise.",unemployment
"Hi, I need help getting food stamps. Can you help me?",food_assistance
I need advice. I am a single mother raising two kids alone. Can you help me?,child_support
I need advice. My child has a learning disability and needs special services. I don't know where to start.,disability_support
"Hi there, I'm a single father struggling to support my children.",child_support
Urgent: My daughter just started school and I need support with supplies. I don't know where to start.,child_support
"Please help, I am elderly and can't afford groceries on my pension.",food_assistance
"Hello, I need financial help for my hospital bill. I don't know where to start.",healthcare_support
"Please help, I'm behind on my mortgage payments and may lose my home. Can you help me?",housing_assistance
"Hi, My contract ended and I haven't found new work. Please advise.",unemployment
"Please help, I have severe arthritis and can no longer work full time. Can you help me?",disability_support
"Hi, I'm jobless and looking for unemployment benefits. What should I do?",unemployment
"Please help, I am homeless and need shelter assistance. I don't know where to start.",housing_assistance
We have triplets and need extra family support.,child_support
"Hello, I am a senior citizen living alone and need support services. Please advise.",elderly_care
"Hi there, I am elderly and can't afford groceries on my pension.",food_assistance
"Hi there, I don't have health insurance and need to see a doctor.",healthcare_support
I need advice. My mother was diagnosed with cancer and needs treatment support. I don't know where to start.,healthcare_support
"Please help, My employer shut down the factory and I'm out of work.",unemployment
"Hello, I'm about to be evicted and need housing help. Please advise.",housing_assistance
Urgent: I got fired and need help paying bills.,unemployment
"Hello, I'm a single father struggling to support my children. Can you help me?",child_support
I need help paying for my surgery. What should I do?,healthcare_support
I am a senior citizen living alone and need support services. What should I do?,elderly_care
I need advice. My husband had a heart attack and we need medical support. Please advise.,healthcare_support
"Please help, We need access to a local food bank.",food_assistance
I lost my job last week and don't know what to do. Please advise.,unemployment
Urgent: My son needs a new pair of shoes for school and we can't afford it. Can you help me?,child_support
I need advice. My son has autism and needs special education support. I don't know where to start.,disability_support
